?subject	?label
<http://purl.obolibrary.org/obo/FOODON_03412786>	"senegal date palm plant as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03411270>	"mango plant as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03308787>	"witch flounder (raw)"@en
<http://purl.obolibrary.org/obo/FOODON_03307491>	"evaporated skim milk"@en
<http://purl.obolibrary.org/obo/FOODON_03316217>	"jelly (marmalade)"@en
<http://purl.obolibrary.org/obo/FOODON_03304814>	"mountain water (food product)"@en
<http://purl.obolibrary.org/obo/FOODON_03304045>	"white pepper (ground)"@en
<http://purl.obolibrary.org/obo/FOODON_03306354>	"pecan roll"@en
<http://purl.obolibrary.org/obo/FOODON_03317408>	"fats and oils, nonemulsified"@en
<http://purl.obolibrary.org/obo/NCBITaxon_37176>	"Ovibos moschatus"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_65351>	"Lepidium campestre"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03305665>	"imitation ice cream mix"@en
<http://purl.obolibrary.org/obo/FOODON_03411577>	"field corn, white (plant) as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03411139>	"citrus family as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03413683>	"long-fin squid as food source"@en
<http://purl.obolibrary.org/obo/CHEBI_23341>	"cobamides"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03309559>	"sauce for meat"@en
<http://purl.obolibrary.org/obo/FOODON_03412809>	"white rubber vine plant as food source"@en
<http://purl.obolibrary.org/obo/GAZ_00003171>	"Commonwealth of Virginia"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/NCBITaxon_37052>	"Ardenna grisea"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03309600>	"mint candy (artificially sweetened)"@en
<http://purl.obolibrary.org/obo/FOODON_03303188>	"corn grits (enriched)"@en
<http://purl.obolibrary.org/obo/FOODON_03303364>	"cayenne pepper (ground)"@en
<http://purl.obolibrary.org/obo/FOODON_03412748>	"sea buckthorn plant as food source"@en
<http://purl.obolibrary.org/obo/CHEBI_67265>	"beta-diketone"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03302897>	"whipped cream"@en
<http://purl.obolibrary.org/obo/FOODON_03303162>	"creme-filled cookie"@en
<http://purl.obolibrary.org/obo/FOODON_03310988>	"peanut flour-coated"@en
<http://purl.obolibrary.org/obo/FOODON_03411192>	"black currant plant as food source"@en
<http://purl.obolibrary.org/obo/NCBITaxon_3908>	"Vicia sativa"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03412753>	"fish, petromyzontiform as food source"@en
<http://purl.obolibrary.org/obo/FOODON_03310656>	"peanut butter (low calorie)"@en
<http://purl.obolibrary.org/obo/FOODON_03308354>	"rock lobster tail (frozen)"@en
<http://purl.obolibrary.org/obo/FOODON_00001617>	"artichoke vegetable food product"@en
<http://purl.obolibrary.org/obo/NCBITaxon_271942>	"Trachurus novaezelandiae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03303047>	"pasteurized process cheese spread"@en
<http://purl.obolibrary.org/obo/FOODON_03315014>	"spices seasonings and flavorings (deprecated)"@en
<http://purl.obolibrary.org/obo/NCBITaxon_134615>	"Alepocephalidae"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/FOODON_03304535>	"second clears"@en
<http://purl.obolibrary.org/obo/FOODON_03311037>	"skim milk condensed"@en
<http://purl.obolibrary.org/obo/FOODON_03306406>	"orange jelly marmalade"@en
<http://purl.obolibrary.org/obo/FOODON_00002258>	"soup mix product"@en
<http://purl.obolibrary.org/obo/FOODON_03307606>	"chocolate-flavored mint sandwich cookie"@en
<http://purl.obolibrary.org/obo/FOODON_00001716>	"chemical sweetener product"@en
<http://purl.obolibrary.org/obo/FOODON_03460259>	"rehydration process"@en
<http://purl.obolibrary.org/obo/GAZ_00005246>	"Pakistan"^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/CHEBI_26079>	"phosphoric acid derivative"^^<http://www.w3.org/2001/XMLSchema#string>
