ancestro_0122	GAZ_00006882
ancestro_0029	GAZ_00000457
ancestro_0036	GAZ_00000588
ancestro_0035	GAZ_00000556
ancestro_0037	GAZ_00000555
ancestro_0038	GAZ_00000553
ancestro_0039	GAZ_00000554
ancestro_0187	GAZ_00002953
ancestro_0086	GAZ_00000563
ancestro_0275	GAZ_00000557
ancestro_0188	GAZ_00002948
ancestro_0077	GAZ_00001095
ancestro_0212	GAZ_00009159
ancestro_0213	GAZ_00006883
ancestro_0214	GAZ_00002928
ancestro_0147	GAZ_00004094
ancestro_0297	GAZ_00004025
ancestro_0030	GAZ_00000465
ancestro_0041	GAZ_00002463
ancestro_0042	GAZ_00000559
ancestro_0289	GAZ_00002472
ancestro_0261	GAZ_00000463
ancestro_0203	GAZ_00002942
ancestro_0148	GAZ_00004941
ancestro_0215	GAZ_00002733
ancestro_0149	GAZ_00005281
ancestro_0123	GAZ_00003750
ancestro_0216	GAZ_00001251
ancestro_0164	GAZ_00006886
ancestro_0204	GAZ_00002938
ancestro_0235	GAZ_00002934
ancestro_0098	GAZ_00000904
ancestro_0256	GAZ_00001264
ancestro_0124	GAZ_00003920
ancestro_0243	GAZ_00002511
ancestro_0189	GAZ_00006887
ancestro_0093	GAZ_00001097
ancestro_0244	GAZ_00002828
ancestro_0136	GAZ_00003901
ancestro_0165	GAZ_00002950
ancestro_0099	GAZ_00000905
ancestro_0058	GAZ_00001090
ancestro_0078	GAZ_00001093
ancestro_0257	GAZ_00002560
ancestro_0100	GAZ_00001227
ancestro_0048	GAZ_01000048
ancestro_0218	GAZ_00003986
ancestro_0079	GAZ_00001089
ancestro_0050	GAZ_00002891
ancestro_0080	GAZ_00000586
ancestro_0245	GAZ_00002825
ancestro_0115	GAZ_00002845
ancestro_0294	GAZ_00005341
ancestro_0325	GAZ_00005915
ancestro_0326	GAZ_00002902
ancestro_0246	GAZ_00002929
ancestro_0059	GAZ_00005820
ancestro_0081	GAZ_00001088
ancestro_0276	GAZ_00053798
ancestro_0236	GAZ_00002901
ancestro_0101	GAZ_00000906
ancestro_0190	GAZ_00002719
ancestro_0219	GAZ_00003762
ancestro_0150	GAZ_00004006
ancestro_0166	GAZ_00002954
ancestro_0175	GAZ_00002635
ancestro_0060	GAZ_00000582
ancestro_0220	GAZ_00006890
ancestro_0293	GAZ_00003952
ancestro_0145	GAZ_00006913
ancestro_0247	GAZ_00002912
ancestro_0087	GAZ_00003934
ancestro_0237	GAZ_00002935
ancestro_0083	GAZ_00001091
ancestro_0176	GAZ_00002959
ancestro_0062	GAZ_00000567
ancestro_0031	GAZ_00000464
ancestro_0248	GAZ_00001412
ancestro_0177	GAZ_00059206
ancestro_0264	GAZ_00006891
ancestro_0178	GAZ_00002937
ancestro_0205	GAZ_00003940
ancestro_0249	GAZ_00002516
ancestro_0277	GAZ_00002918
ancestro_0084	GAZ_00001092
ancestro_0102	GAZ_00000907
ancestro_0151	GAZ_00004942
ancestro_0206	GAZ_00002646
ancestro_0103	GAZ_00000908
ancestro_0191	GAZ_00003987
ancestro_0192	GAZ_00002945
ancestro_0258	GAZ_00001507
ancestro_0221	GAZ_00049570
ancestro_0222	GAZ_00067142
ancestro_0269	GAZ_00003706
ancestro_0238	GAZ_00002936
ancestro_0104	GAZ_00000909
ancestro_0105	GAZ_00000910
ancestro_0250	GAZ_00002522
ancestro_0223	GAZ_00003953
ancestro_0239	GAZ_00002894
ancestro_0116	GAZ_00003203
ancestro_0167	GAZ_00002952
ancestro_0179	GAZ_00000843
ancestro_0125	GAZ_00002839
ancestro_0138	GAZ_00003727
ancestro_0126	GAZ_00004474
ancestro_0152	GAZ_00004483
ancestro_0184	GAZ_00002943
ancestro_0153	GAZ_00002476
ancestro_0194	GAZ_00002650
ancestro_0224	GAZ_00003781
ancestro_0119	GAZ_00002747
ancestro_0154	GAZ_00002473
ancestro_0137	GAZ_00006888
ancestro_0127	GAZ_00004999
ancestro_0063	GAZ_00001101
ancestro_0270	GAZ_00006894
ancestro_0118	GAZ_00002801
ancestro_0121	GAZ_00002802
ancestro_0298	GAZ_00011337
ancestro_0155	GAZ_00005285
ancestro_0128	GAZ_00006893
ancestro_0139	GAZ_00006889
ancestro_0181	GAZ_00002958
ancestro_0156	GAZ_00002478
ancestro_0094	GAZ_00001098
ancestro_0106	GAZ_00000911
ancestro_0088	GAZ_00000566
ancestro_0207	GAZ_00003858
ancestro_0182	GAZ_00002960
ancestro_0208	GAZ_00002947
ancestro_0117	GAZ_00003202
ancestro_0202	GAZ_00006895
ancestro_0064	GAZ_00001105
ancestro_0065	GAZ_00056925
ancestro_0140	GAZ_00003902
ancestro_0129	GAZ_00006924
ancestro_0107	GAZ_00000584
ancestro_0195	GAZ_00005459
ancestro_0271	GAZ_00007161
ancestro_0225	GAZ_00067143
ancestro_0108	GAZ_00000583
ancestro_0066	GAZ_00005852
ancestro_0240	GAZ_00002852
ancestro_0272	GAZ_00005862
ancestro_0015	GAZ_00002464
ancestro_0169	GAZ_00003897
ancestro_0209	GAZ_00003857
ancestro_0120	GAZ_00008744
ancestro_0226	GAZ_00003988
ancestro_0089	GAZ_00000565
ancestro_0068	GAZ_00001100
ancestro_0141	GAZ_00006899
ancestro_0095	GAZ_00001096
ancestro_0273	GAZ_00006900
ancestro_0130	GAZ_00004399
ancestro_0210	GAZ_00002946
ancestro_0227	GAZ_00004019
ancestro_0265	GAZ_00005206
ancestro_0262	GAZ_00000469
ancestro_0241	GAZ_00002978
ancestro_0109	GAZ_00000585
ancestro_0110	GAZ_00000912
ancestro_0278	GAZ_00006902
ancestro_0263	GAZ_00005908
ancestro_0327	GAZ_00003958
ancestro_0183	GAZ_00002699
ancestro_0158	GAZ_00005283
ancestro_0131	GAZ_00005246
ancestro_0274	GAZ_00006905
ancestro_0242	GAZ_00002892
ancestro_0266	GAZ_00003922
ancestro_0251	GAZ_00002933
ancestro_0252	GAZ_00002932
ancestro_0142	GAZ_00004525
ancestro_0279	GAZ_00007187
ancestro_0168	GAZ_00002939
ancestro_0197	GAZ_00004126
ancestro_0228	GAZ_00006935
ancestro_0159	GAZ_00005286
ancestro_0070	GAZ_00003945
ancestro_0170	GAZ_00002951
ancestro_0171	GAZ_00002721
ancestro_0069	GAZ_00001087
ancestro_0229	GAZ_00006906
ancestro_0230	GAZ_00006909
ancestro_0231	GAZ_02000565
ancestro_0198	GAZ_00003102
ancestro_0085	GAZ_00006927
ancestro_0160	GAZ_00005279
ancestro_0300	GAZ_00002639
ancestro_0111	GAZ_00000913
ancestro_0199	GAZ_00002957
ancestro_0071	GAZ_00006922
ancestro_0112	GAZ_00000914
ancestro_0143	GAZ_00003923
ancestro_0172	GAZ_00002956
ancestro_0200	GAZ_00002955
ancestro_0267	GAZ_00005275
ancestro_0072	GAZ_00001104
ancestro_0096	GAZ_00001094
ancestro_0049	GAZ_00000459
ancestro_0201	GAZ_00003936
ancestro_0132	GAZ_00004940
ancestro_0113	GAZ_00233439
ancestro_0259	GAZ_00003942
ancestro_0090	GAZ_00000560
ancestro_0253	GAZ_00003924
ancestro_0097	GAZ_00001099
ancestro_0185	GAZ_00002729
ancestro_0211	GAZ_00002941
ancestro_0291	GAZ_00002474
ancestro_0133	GAZ_00006912
ancestro_0074	GAZ_00001103
ancestro_0144	GAZ_00003744
ancestro_0114	GAZ_00000915
ancestro_0281	GAZ_00260188
ancestro_0282	GAZ_00006916
ancestro_0232	GAZ_00003767
ancestro_0091	GAZ_00000562
ancestro_0161	GAZ_00000558
ancestro_0134	GAZ_00005018
ancestro_0233	GAZ_00003955
ancestro_0283	GAZ_00009715
ancestro_0073	GAZ_00001102
ancestro_0173	GAZ_00002724
ancestro_0162	GAZ_00005282
ancestro_0186	GAZ_00002637
ancestro_0260	GAZ_00002459
ancestro_0254	GAZ_00002930
ancestro_0135	GAZ_00004979
ancestro_0268	GAZ_00006918
ancestro_0193	GAZ_00003103
ancestro_0255	GAZ_00002931
ancestro_0146	GAZ_00003756
ancestro_0217	GAZ_00003961
ancestro_0234	GAZ_00003959
ancestro_0284	GAZ_00007192
ancestro_0092	GAZ_00000564
ancestro_0280	GAZ_00006910
ancestro_0163	GAZ_00005284
ancestro_0082	GAZ_00001086
ancestro_0075	GAZ_00001107
ancestro_0076	GAZ_00001106
ancestro_0052	GAZ_00005860
ancestro_0053	GAZ_00005862
ancestro_0054	GAZ_00005861
ancestro_0055	GAZ_00002471
ancestro_0061	GAZ_00000581
ancestro_0067	GAZ_00003943
ancestro_0157	GAZ_00002475
ancestro_0174	GAZ_00001539
ancestro_0180	GAZ_00052477
ancestro_0202	GAZ_00006895
ancestro_0236	GAZ_00002901
ancestro_0292	GAZ_00004021
ancestro_0295	GAZ_00012579
ancestro_0296	GAZ_00005841
ancestro_0299	GAZ_00233439
ancestro_0196	GAZ_00006898
ancestro_0253	GAZ_00002525
