Concept	Preferred Term	Id
Modification of schedule of oral intake (regime/therapy)	Modification of schedule of oral intake	445351000124103
Modification of nutritional regime (regime/therapy)	Modification of nutritional regime	445341000124100
Pureed diet (regime/therapy)	Pureed diet	439121000124106
Mechanically altered diet (regime/therapy)	Mechanically altered diet	439111000124103
Easy to chew diet (regime/therapy)	Easy to chew diet	439101000124101
Dietary liquid consistency - thin liquid (regime/therapy)	Dietary liquid consistency - thin liquid	439081000124109
Increased fluid diet (regime/therapy)	Increased fluid diet	439071000124106
Fluid restricted diet (regime/therapy)	Fluid restricted diet	439061000124104
Dietary liquid consistency - spoon thick liquid (regime/therapy)	Dietary liquid consistency - spoon thick liquid	439041000124103
Dietary liquid consistency - honey thick liquid (regime/therapy)	Dietary liquid consistency - honey thick liquid	439031000124108
Dietary liquid consistency - nectar thick liquid (regime/therapy)	Dietary liquid consistency - nectar thick liquid	439021000124105
Decreased vitamin K diet (regime/therapy)	Decreased vitamin K diet	438381000124104
Increased vitamin K diet (regime/therapy)	Increased vitamin K diet	438371000124102
Decreased vitamin E diet (regime/therapy)	Decreased vitamin E diet	438361000124109
Increased vitamin E diet (regime/therapy)	Increased vitamin E diet	438351000124107
Decreased vitamin D diet (regime/therapy)	Decreased vitamin D diet	438341000124105
Increased vitamin D diet (regime/therapy)	Increased vitamin D diet	438331000124100
Decreased vitamin C diet (regime/therapy)	Decreased vitamin C diet	438321000124103
Increased vitamin C diet (regime/therapy)	Increased vitamin C diet	438311000124106
Decreased vitamin B6 diet (regime/therapy)	Decreased vitamin B6 diet	438301000124108
Increased vitamin B6 diet (regime/therapy)	Increased vitamin B6 diet	438291000124107
Decreased vitamin B12 diet (regime/therapy)	Decreased vitamin B12 diet	438281000124109
Increased vitamin B12 diet (regime/therapy)	Increased vitamin B12 diet	438271000124106
Decreased vitamin A diet (regime/therapy)	Decreased vitamin A diet	438261000124104
Increased vitamin A diet (regime/therapy)	Increased vitamin A diet	438251000124101
Decreased thiamine diet (regime/therapy)	Decreased thiamine diet	438241000124103
Increased thiamine diet (regime/therapy)	Increased thiamine diet	438231000124108
Decreased riboflavin diet (regime/therapy)	Decreased riboflavin diet	438221000124105
Increased riboflavin diet (regime/therapy)	Increased riboflavin diet	438211000124102
Decreased pantothenic acid diet (regime/therapy)	Decreased pantothenic acid diet	438201000124100
Increased pantothenic acid diet (regime/therapy)	Increased pantothenic acid diet	438191000124103
Decreased niacin diet (regime/therapy)	Decreased niacin diet	438181000124101
Increased niacin diet (regime/therapy)	Increased niacin diet	438171000124104
Decreased folic acid diet (regime/therapy)	Decreased folic acid diet	438161000124106
Increased folic acid diet (regime/therapy)	Increased folic acid diet	438151000124109
Decreased biotin diet (regime/therapy)	Decreased biotin diet	438141000124107
Increased biotin diet (regime/therapy)	Increased biotin diet	438131000124102
Vitamin K modified diet (regime/therapy)	Vitamin K modified diet	438121000124100
Vitamin E modified diet (regime/therapy)	Vitamin E modified diet	438111000124108
Vitamin D modified diet (regime/therapy)	Vitamin D modified diet	438101000124105
Vitamin C modified diet (regime/therapy)	Vitamin C modified diet	438091000124104
Vitamin B12 modified diet (regime/therapy)	Vitamin B12 modified diet	438081000124102
Vitamin B6 modified diet (regime/therapy)	Vitamin B6 modified diet	438071000124100
Vitamin A modified diet (regime/therapy)	Vitamin A modified diet	438061000124107
Thiamine modified diet (regime/therapy)	Thiamine modified diet	438051000124105
Riboflavin modified diet (regime/therapy)	Riboflavin modified diet	438041000124108
Pantothenic acid modified diet (regime/therapy)	Pantothenic acid modified diet	438031000124103
Niacin modified diet (regime/therapy)	Niacin modified diet	438021000124101
Folic acid modified diet (regime/therapy)	Folic acid modified diet	438011000124109
Biotin modified diet (regime/therapy)	Biotin modified diet	438001000124106
Decreased valine diet (regime/therapy)	Decreased valine diet	437871000124108
Increased valine diet (regime/therapy)	Increased valine diet	437861000124101
Decreased tyrosine diet (regime/therapy)	Decreased tyrosine diet	437851000124103
Increased tyrosine diet (regime/therapy)	Increased tyrosine diet	437841000124100
Decreased tryptophan diet (regime/therapy)	Decreased tryptophan diet	437831000124105
Increased tryptophan diet (regime/therapy)	Increased tryptophan diet	437821000124107
Decreased threonine diet (regime/therapy)	Decreased threonine diet	437811000124104
Increased threonine diet (regime/therapy)	Increased threonine diet	437801000124102
Decreased methionine diet (regime/therapy)	Decreased methionine diet	437791000124103
Increased methionine diet (regime/therapy)	Increased methionine diet	437781000124101
Decreased lysine diet (regime/therapy)	Decreased lysine diet	437771000124104
Increased lysine diet (regime/therapy)	Increased lysine diet	437761000124106
Decreased leucine diet (regime/therapy)	Decreased leucine diet	437751000124109
Increased leucine diet (regime/therapy)	Increased leucine diet	437741000124107
Decreased isoleucine diet (regime/therapy)	Decreased isoleucine diet	437731000124102
Increased isoleucine diet (regime/therapy)	Increased isoleucine diet	437721000124100
Decreased histidine diet (regime/therapy)	Decreased histidine diet	437711000124108
Increased histidine diet (regime/therapy)	Increased histidine diet	437701000124105
Decreased glutamine diet (regime/therapy)	Decreased glutamine diet	437691000124105
Increased glutamine diet (regime/therapy)	Increased glutamine diet	437681000124107
