FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES
CR0010	WHOLE MILK	WHOLE MILK	A0148 B1201 C0235 E0123 F0018 G0003 H0001 J0135 K0003 M0001 N0001 P0024
CR0011	HUMAN MILK	HUMAN MILK	A0148 B1087 C0235 E0123 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CR0012	GOAT'S MILK	GOAT'S MILK	A0148 B2611 C0235 E0123 F0001 G0003 H0003 J0001 K0003 N0001 M0001 P0024
CR0013	SHEEP'S MILK	SHEEP'S MILK	A0148 B2610 C0235 E0123 F0018 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CR0020	LOWFAT MILK	LOWFAT MILK	A0148 B1201 C0235 E0123 F0018 G0003 H0247 J0135 K0003 M0001 N0001 P0024
CR0022	LOWFAT 2% FAT MILK, WITH ADDED MILK SOLIDS	LOWFAT 2% FAT MILK, WITH ADDED MILK SOLIDS	A0148 B1201 C0235 E0123 F0018 G0003 H0324 H0184 J0001 K0003 M0001 N0001 P0024
CR0030	SKIM MILK	SKIM MILK	A0148 B1201 C0235 E0123 F0018 G0003 H0248 J0135 K0003 M0001 N0001 P0039 P0024
CR0040	BUTTERMILK	BUTTERMILK	A0101 B1201 C0216 E0121 F0018 G0003 H0101 H0161 J0135 K0003 M0001 N0001 P0024
CR0051	MILK, DRY	MILK, DRY	A0148 B1201 C0235 E0106 F0022 G0003 H0138 J0116 K0003 M0001 N0001 P0024 Z0089
CR0060	EVAPORATED MILK	EVAPORATED MILK	A0148 B1201 C0235 E0139 F0014 G0003 H0138 H0194 H0214 H0306 J0123 K0003 M0001 N0001 P0024
CR0070	YOGURT, PLAIN	YOGURT, PLAIN	A0101 B1201 C0235 E0119 F0018 G0003 H0101 J0135 K0003 M0001 N0001 P0024
CR0080	YOGURT, FLAVORED	YOGURT, FLAVORED	A0101 B1201 C0235 E0144 F0018 G0003 H0101 J0135 K0003 M0001 N0001 P0024 H0227
CR0090	YOGURT, FRUIT	YOGURT, FRUIT	A0101 B1201 C0235 E0134 F0018 G0003 H0101 H0147 J0135 K0003 M0001 N0001 P0024
CR0100	CHOCOLATE MILK	CHOCOLATE MILK	A0148 B1201 C0235 E0123 F0018 G0003 H0253 H0119 H0231 H0100 J0135 K0003 M0001 N0001 P0024
CR0120	MILK SHAKE	MILK SHAKE	A0148 B1201 C0235 E0102 F0018 G0003 H0117 H0136 J0135 K0003 M0001 N0001 P0024
