FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES
CXA-1A 	BUTTER 	BUTTER 	A0148 B1134 C0179 E0119 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CXA-1B 	WHEY BUTTER 	WHEY BUTTER 	A0148 B1134 C0179 E0119 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
CXA-10A 	CREAM POWDER 	CREAM POWDER 	A0148 B1134 C0195 E0106 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CXA-10B 	HALF CREAM POWDER 	HALF CREAM POWDER 	A0148 B1134 C0195 E0106 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CXA-10C 	MILK POWDER, HIGH FAT 	MILK POWDER, HIGH FAT 	A0148 B1134 C0235 E0106 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CXA-11(A)A 	YOGHURT 	YOGHURT 	A0101 B1134 C0235 E0119 F0018 G0003 H0101 J0135 K0003 M0001 N0001 P0024
CXA-11(A)B 	YOGHURT, PART SKIM 	YOGHURT, PART SKIM 	A0101 B1134 C0235 E0119 F0018 G0003 H0101 H0247 J0135 K0003 M0001 N0001 P0024 P0017
CXA-11(A)C 	YOGHURT, SKIMMED 	YOGHURT, SKIMMED 	A0101 B1134 C0235 E0119 F0018 G0003 H0101 H0248 J0135 K0003 M0001 N0001 P0039 P0024
CXA-11(A)D 	YOGHURT, SWEETENED 	YOGHURT, SWEETENED 	A0101 B1134 C0235 E0119 F0018 G0003 H0101 H0136 J0135 K0003 M0001 N0001 P0024
CXA-11(A)E 	YOGHURT, PART SKIM, SWEETENED 	YOGHURT, PART SKIM, SWEETENED 	A0101 B1134 C0235 E0119 F0018 G0003 H0101 H0247 H0136 J0135 K0003 M0001 N0001 P0024 P0017
CXA-11(A)F 	YOGHURT, SKIMMED, SWEETENED 	YOGHURT, SKIMMED, SWEETENED 	A0101 B1134 C0235 E0119 F0018 G0003 H0101 H0136 H0248 J0135 K0003 M0001 N0001 P0039 P0024
CXA-11(B)A 	YOGHURT, FLAVORED 	YOGHURT, FLAVORED 	A0101 B1134 C0235 E0144 F0018 G0003 H0101 H0225 J0135 K0003 M0001 N0001 P0024
CXA-11(B)B 	YOGHURT, PART SKIM, FLAVORED 	YOGHURT, PART SKIM, FLAVORED 	A0101 B1134 C0235 E0144 F0018 G0003 H0101 H0225 H0247 J0135 K0003 M0001 N0001 P0024 P0017
CXA-11(B)C 	YOGHURT, SKIMMED, FLAVORED 	YOGHURT, SKIMMED, FLAVORED 	A0101 B1134 C0235 E0144 F0018 G0003 H0101 H0248 H0225 J0135 K0003 M0001 N0001 P0039 P0024
CXA-11(B)D 	YOGHURT, FLAVORED, HEAT TREATED AFTER FERMENTATION 	YOGHURT, FLAVORED, HEAT TREATED AFTER FERMENTATION 	A0101 B1134 C0235 E0144 F0022 G0003 H0101 H0225 J0120 K0003 M0001 N0001 P0024
CXA-11(B)E 	YOGHURT, PART SKIM, FLAVORED, HEAT TREATED AFTER FERMENTATION 	YOGHURT, PART SKIM, FLAVORED, HEAT TREATED AFTER FERMENTATION 	A0101 B1134 C0235 E0144 F0022 G0003 H0101 H0247 H0225 J0120 K0003 M0001 N0001 P0024 P0017
CXA-11(B)F 	YOGHURT, SKIMMED, FLAVORED, HEAT TREATED AFTER FERMENTATION 	YOGHURT, SKIMMED, FLAVORED, HEAT TREATED AFTER FERMENTATION 	A0101 B1134 C0235 E0144 F0022 G0003 H0101 H0248 H0225 J0120 K0003 M0001 N0001 P0039 P0024
CXA-12 	ACID CASEIN, EDIBLE 	ACID CASEIN, EDIBLE 	A0148 B1134 C0180 E0144 F0001 G0003 H0138 J0001 K0003 M0001 N0001 P0024
CXA-13 	CASEINATE, EDIBLE 	CASEINATE, EDIBLE 	A0148 B1134 C0180 E0151 F0022 G0003 H0138 J0001 K0003 M0001 N0001 P0024
CXA-2A 	BUTTEROIL 	BUTTEROIL 	A0148 B1134 C0179 E0139 F0001 G0003 H0138 J0001 K0003 M0001 N0001 P0024
CXA-2B 	BUTTEROIL AND MILKFAT, ANHYDROUS 	BUTTEROIL AND MILKFAT, ANHYDROUS 	A0148 B1134 C0179 E0001 F0001 G0003 H0138 J0001 K0003 M0001 N0001 P0024
CXA-3A 	EVAPORATED MILK 	EVAPORATED MILK 	A0148 B1134 C0235 E0139 F0001 G0003 H0138 J0001 K0003 M0001 N0001 P0024
CXA-3B 	EVAPORATED SKIMMED MILK 	EVAPORATED SKIMMED MILK 	A0148 B1134 C0235 E0139 F0001 G0003 H0138 H0248 J0001 K0003 M0001 N0001 P0039 P0024
CXA-4A 	SWEETENED CONDENSED MILK 	SWEETENED CONDENSED MILK 	A0148 B1134 C0235 E0139 F0001 G0003 H0138 H0136 J0001 K0003 M0001 N0001 P0024
CXA-4B 	SWEETENED CONDENSED MILK, SKIMMED 	SWEETENED CONDENSED MILK, SKIMMED 	A0148 B1134 C0235 E0139 F0001 G0003 H0138 H0136 H0248 J0001 K0003 M0001 N0001 P0039 P0024
CXA-5A 	WHOLE MILK POWDER 	WHOLE MILK POWDER 	A0148 B1134 C0235 E0106 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CXA-5B 	MILK POWDER, PARTLY SKIMMED 	MILK POWDER, PARTLY SKIMMED 	A0148 B1134 C0235 E0106 F0001 G0003 H0138 H0247 J0116 K0003 M0001 N0001 P0017 P0024
CXA-5C 	SKIMMED MILK POWDER 	SKIMMED MILK POWDER 	A0148 B1134 C0235 E0106 F0001 G0003 H0138 H0248 J0116 K0003 M0001 N0001 P0039 P0024
CXA-6 	CHEESE, GENERAL STANDARD 	CHEESE, GENERAL STANDARD 	A0115 B1134 C0245 E0001 F0001 G0003 H0119 J0001 K0003 M0001 N0001 P0024
CXA-7A 	WHEY CHEESE, CREAMED 	WHEY CHEESE, CREAMED 	A0115 B1134 C0244 E0144 F0022 G0003 H0297 H0138 J0001 K0003 M0001 N0001 P0024
CXA-7B 	WHEY CHEESE 	WHEY CHEESE 	A0115 B1134 C0244 E0151 F0022 G0003 H0138 J0001 K0003 M0001 N0001 P0024
CXA-7C 	WHEY CHEESE, SKIMMED 	WHEY CHEESE, SKIMMED 	A0115 B1134 C0244 E0151 F0022 G0003 H0161 H0138 J0001 K0003 M0001 N0001 P0024
CXA-8(A)A 	CHEESE, PROCESS(ED), GENERAL STANDARD FOR NAMED VARIETY 	CHEESE, PROCESS(ED), GENERAL STANDARD FOR NAMED VARIETY 	A0282 B1134 C0245 E0151 F0022 G0003 H0119 H0306 J0001 K0003 M0001 N0001 P0024
CXA-8(A)B 	CHEESE, PROCESS(ED), SPREADABLE, GENERAL STANDARD FOR NAMED VARIETY 	CHEESE, PROCESS(ED), SPREADABLE, GENERAL STANDARD FOR NAMED VARIETY 	A0282 B1134 C0245 E0144 F0022 G0003 H0119 H0306 J0001 K0003 M0001 N0001 P0024
CXA-8(B)A 	CHEESE, PROCESS(ED), GENERAL STANDARD 	CHEESE, PROCESS(ED), GENERAL STANDARD 	A0282 B1134 C0245 E0151 F0022 G0003 H0306 H0119 J0001 K0003 M0001 N0001 P0024
CXA-8(B)B 	CHEESE, PROCESS(ED), SPREADABLE, GENERAL STANDARD 	CHEESE, PROCESS(ED), SPREADABLE, GENERAL STANDARD 	A0282 B1134 C0245 E0144 F0022 G0003 H0306 H0119 J0001 K0003 M0001 N0001 P0024
CXA-8(C) 	CHEESE PREPARATION, PROCESS(ED), GENERAL STANDARD 	CHEESE PREPARATION, PROCESS(ED), GENERAL STANDARD 	A0282 B1134 C0245 E0001 F0022 G0003 H0119 H0306 J0001 K0003 M0001 N0001 P0024
CXA-9A 	CREAM 	CREAM 	A0148 B1134 C0195 E0123 F0022 G0003 H0001 J0120 K0003 M0001 N0001 P0024
CXA-9B 	HALF CREAM 	HALF CREAM 	A0148 B1134 C0195 E0123 F0022 G0003 H0297 J0120 K0003 M0001 N0001 P0024
CXA-9C 	WHIPPING AND WHIPPED CREAM 	WHIPPING AND WHIPPED CREAM 	A0148 B1134 C0195 E0001 F0022 G0003 H0001 J0120 K0003 M0001 N0001 P0024
CXA-9D 	HEAVY WHIPPING AND WHIPPED HEAVY CREAM 	HEAVY WHIPPING AND WHIPPED HEAVY CREAM 	A0148 B1134 C0195 E0001 F0022 G0001 H0001 J0120 K0003 M0001 N0001 P0024
CXA-9E 	DOUBLE CREAM 	DOUBLE CREAM 	A0148 B1134 C0195 E0139 F0022 G0003 H0001 J0120 K0003 M0001 N0001 P0024
CXC-1 	CHEDDAR CHEESE 	CHEDDAR CHEESE 	A0311 A0186 B1201 C0245 E0151 F0001 G0003 H0253 H0328 J0001 K0003 M0001 N0001 P0024
CXC-10 	GRUYERE CHEESE 	GRUYERE CHEESE 	A0311 A0186 B1201 C0245 E0151 F0001 G0003 H0253 H0328 J0001 K0003 M0001 N0001 P0024
CXC-11 	TILSITER CHEESE 	TILSITER CHEESE 	A0312 B1201 C0245 E0151 F0001 G0003 H0253 H0328 J0001 K0003 M0001 N0001 P0024
CXC-12 	LIMBURGER CHEESE 	LIMBURGER CHEESE 	A0314 A0138 B1201 C0245 E0151 F0001 G0003 H0327 H0253 J0001 K0003 M0001 N0001 P0024
CXC-13 	SAINT-PAULIN CHEESE 	SAINT-PAULIN CHEESE 	A0312 B1201 C0245 E0151 F0022 G0003 H0324 H0253 H0327 J0001 K0003 M0001 N0001 P0024
CXC-14 	SVECIA CHEESE 	SVECIA CHEESE 	A0168 B1201 C0245 E0151 F0018 G0003 H0328 H0253 H0151 J0135 K0003 M0001 N0001 P0024
CXC-15 	PROVOLONE CHEESE 	PROVOLONE CHEESE 	A0186 A0312 B1201 C0245 E0151 F0001 G0003 H0324 H0328 H0253 J0001 K0003 M0001 N0001 P0024
CXC-16 	COTTAGE CHEESE INCLUDING CREAMED COTTAGE CHEESE 	COTTAGE CHEESE INCLUDING CREAMED COTTAGE CHEESE 	A0185 B1201 C0245 E0001 F0018 G0003 H0101 J0135 K0003 M0001 N0001 P0024
CXC-17 	BUTTERKASE CHEESE 	BUTTERKASE CHEESE 	A0168 B1201 C0245 E0151 F0001 G0003 H0253 H0327 J0001 K0003 M0001 N0001 P0024
CXC-18 	COULOMMIERS CHEESE 	COULOMMIERS CHEESE 	A0314 B1201 C0245 E0151 F0001 G0003 H0324 H0253 H0330 J0001 K0003 M0001 N0001 P0024
CXC-19 	GUDBRANDSDALSOST CHEESE 	GUDBRANDSDALSOST CHEESE 	A0115 B2245 C0113 E0151 F0022 G0003 H0324 H0138 J0001 K0003 M0001 N0001 P0024
CXC-2 	DANABLU CHEESE 	DANABLU CHEESE 	A0168 B1201 C0245 E0151 F0001 G0003 H0253 H0331 J0001 K0003 M0001 N0001 P0024
CXC-20 	HARZER KASE CHEESE 	HARZER KASE CHEESE 	A0314 B1201 C0245 E0151 F0018 G0003 H0248 H0253 H0327 J0135 K0003 M0001 N0001 P0024
CXC-21 	HERRGARDSOST CHEESE 	HERRGARDSOST CHEESE 	A0186 A0311 B1201 C0245 E0151 F0018 G0003 H0253 H0328 J0135 K0003 M0001 N0001 P0024
CXC-22 	HUSHALLSOST CHEESE 	HUSHALLSOST CHEESE 	A0312 B1201 C0245 E0151 F0018 G0003 H0253 H0328 H0227 J0135 K0003 M0001 N0001 P0024
CXC-23 	NORVEGIA CHEESE 	NORVEGIA CHEESE 	A0312 B1201 C0245 E0151 F0018 G0003 H0253 H0328 J0135 K0003 M0001 N0001 P0024
CXC-24 	MARIBO CHEESE 	MARIBO CHEESE 	A0312 B1201 C0245 E0151 F0001 G0003 H0117 H0253 H0326 J0001 K0003 M0001 N0001 P0024
CXC-25 	FYNBO CHEESE 	FYNBO CHEESE 	A0168 B1201 C0245 E0151 F0001 G0003 H0328 H0253 H0117 J0001 K0003 M0001 N0001 P0024
CXC-26 	ESROM CHEESE 	ESROM CHEESE 	A0312 B1201 C0245 E0151 F0018 G0003 H0253 H0327 J0135 K0003 M0001 N0001 P0024
CXC-27 	ROMADUR CHEESE 	ROMADUR CHEESE 	A0314 B1201 C0245 E0151 F0001 G0003 H0327 H0253 H0325 J0001 K0003 M0001 N0001 P0024
CXC-28 	AMSTERDAM CHEESE 	AMSTERDAM CHEESE 	A0168 B1201 C0245 E0151 F0001 G0003 H0253 H0328 J0001 K0003 M0001 N0001 P0024
CXC-29 	LEIDSE CHEESE 	LEIDSE CHEESE 	A0186 A0311 B1201 C0245 E0151 F0001 G0003 H0324 H0328 H0253 J0001 K0003 M0001 N0001 P0024
CXC-3 	DANBO CHEESE 	DANBO CHEESE 	A0312 B1201 C0245 E0151 F0001 G0003 H0253 H0151 H0326 J0001 K0003 M0001 N0001 P0024
CXC-30 	FREISE CHEESE 	FREISE CHEESE 	A0186 A0311 B1201 C0245 E0151 F0001 G0003 H0324 H0253 H0328 H0151 J0001 K0003 M0001 N0001 P0024
CXC-31 	CREAM CHEESE 	CREAM CHEESE 	A0185 B1201 C0245 E0119 F0018 G0003 H0101 J0135 K0003 M0001 N0001 P0024
CXC-32 	BLUE-VEINED CHEESE 	BLUE-VEINED CHEESE 	A0168 B1201 C0245 E0151 F0001 G0003 H0331 H0253 J0001 K0003 M0001 N0001 P0024
CXC-33 	CAMEMBERT CHEESE 	CAMEMBERT CHEESE 	A0314 A0138 B1201 C0245 E0119 F0001 G0003 H0330 H0253 H0327 J0001 K0003 M0001 N0001 P0024
CXC-34 	BRIE CHEESE 	BRIE CHEESE 	A0314 A0138 B1201 C0245 E0119 F0001 G0003 H0327 H0253 H0330 J0001 K0003 M0001 N0001 P0024
CXC-35 	EXTRA HARD GRATING CHEESE 	EXTRA HARD GRATING CHEESE 	A0310 B1134 C0245 E0151 F0001 G0003 H0253 H0328 H0324 J0001 K0003 M0001 N0001 P0024
CXC-4 	EDAM CHEESE 	EDAM CHEESE 	A0312 A0186 B1201 C0245 E0151 F0001 G0003 H0324 H0253 H0328 J0001 K0003 M0001 N0001 P0024
CXC-5 	GOUDA CHEESE 	GOUDA CHEESE 	A0312 A0186 B1201 C0245 E0151 F0001 G0003 H0253 H0328 J0001 K0003 M0001 N0001 P0024
CXC-6 	HAVARTI CHEESE 	HAVARTI CHEESE 	A0312 A0281 B1201 C0245 E0151 F0001 G0003 H0253 H0328 J0001 K0003 M0001 N0001 P0024
CXC-7 	SAMSOE CHEESE 	SAMSOE CHEESE 	A0311 A0186 B1201 C0245 E0151 F0014 G0003 H0331 H0253 J0001 K0003 M0001 N0001 P0024
CXC-8 	CHESHIRE CHEESE 	CHESHIRE CHEESE 	A0311 A0186 B1201 C0245 E0151 F0022 G0003 H0253 H0328 J0001 K0003 M0001 N0001 P0024
CXC-9 	EMMENTALER CHEESE 	EMMENTALER CHEESE 	A0186 A0311 B1201 C0245 E0151 F0001 G0003 H0253 H0328 J0001 K0003 M0001 N0001 P0024
CX10-1981 	GLUCOSE SYRUP, DRIED 	GLUCOSE SYRUP, DRIED 	A0118 B1016 C0203 E0151 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CX101-1981 	BLACK CURRANT NECTAR, NON-PULPY 	BLACK CURRANT NECTAR, NON-PULPY 	A0196 B1192 C0140 E0139 F0014 G0003 H0136 J0123 K0003 M0194 N0001 P0024
CX102-1981 	FRUCTOSE 	FRUCTOSE 	A0118 B1012 C0223 E0143 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CX103-1981 	BLUEBERRY, QUICK-FROZEN 	BLUEBERRY, QUICK-FROZEN 	A0143 B1491 C0140 E0150 F0003 G0003 H0001 J0132 K0001 M0001 N0001 P0024
CX104-1981 	LEEK, QUICK-FROZEN 	LEEK, QUICK-FROZEN 	A0152 B1308 C0100 E0151 F0001 G0003 H0001 J0132 K0003 M0001 N0001 P0024
CX105-1981A 	COCOA 	COCOA 	A0272 B1318 C0208 E0106 F0014 G0003 H0253 H0119 H0138 J0116 K0003 M0001 N0001 P0024
CX105-1981B 	COCOA AND SUGAR MIXTURES, DRY 	COCOA AND SUGAR MIXTURES, DRY 	A0272 B1012 C0108 E0143 F0001 G0003 H0138 H0231 H0119 H0253 J0116 K0003 M0001 N0001 P0024
CX108-1981 	MINERAL WATER, NATURAL 	MINERAL WATER, NATURAL 	A0112 B1288 C0005 E0123 F0003 G0003 H0003 J0001 K0003 M0203 N0001 P0024
CX11-1981 	LACTOSE 	LACTOSE 	A0118 B1201 C0209 E0151 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
CX110-1981 	BROCCOLI, QUICK-FROZEN 	BROCCOLI, QUICK-FROZEN 	A0152 B1443 C0144 E0151 F0018 G0003 H0001 J0132 K0003 M0001 N0001 P0024
CX111-1981 	CAULIFLOWER, QUICK-FROZEN 	CAULIFLOWER, QUICK-FROZEN 	A0152 B1094 C0144 E0151 F0018 G0003 H0001 J0132 K0003 M0001 N0001 P0024
CX112-1981 	BRUSSELS SPROUT, QUICK FROZEN 	BRUSSELS SPROUT, QUICK FROZEN 	A0152 B1611 C0151 E0150 F0018 G0003 H0001 J0132 K0003 M0001 N0001 P0024
CX113-1981A 	GREEN BEAN, QUICK-FROZEN 	GREEN BEAN, QUICK-FROZEN 	A0152 B1371 C0169 E0151 F0018 G0003 H0001 J0132 K0003 M0001 N0001 P0024
CX113-1981B 	WAX BEANS, QUICK-FROZEN 	WAX BEANS, QUICK-FROZEN 	A0152 B1351 C0169 E0151 F0018 G0003 H0001 J0132 K0003 M0001 N0001 P0024
CX114-1981B 	POTATO, FRENCH FRIED, QUICK-FROZEN 	POTATO, FRENCH FRIED, QUICK-FROZEN 	A0152 B1218 C0240 E0124 F0018 G0025 H0233 J0132 K0003 M0001 N0001 P0024
CX115-1981 	CUCUMBER PICKLE 	CUCUMBER PICKLE 	A0271 B1404 C0167 E0151 F0014 G0003 H0190 H0200 H0253 J0001 K0011 M0203 N0001 P0024
CX116-1981 	CARROT, CANNED 	CARROT, CANNED 	A0152 B1227 C0240 E0151 F0014 G0003 H0001 J0123 K0011 M0194 N0001 P0024
CX117-1981A 	BOUILLON 	BOUILLON 	A0243 B0001 C0001 E0001 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CX117-1981B 	CONSOMME 	CONSOMME 	A0243 B0001 C0001 E0001 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
CX118-1981 	GLUTEN-FREE FOODS 	GLUTEN-FREE FOODS 	A0001 B0001 C0001 E0001 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0023 P0024 P0174
CX119-1981A 	MACKEREL, CANNED 	MACKEREL, CANNED 	A0267 B1043 C0127 E0151 F0014 G0001 H0001 J0123 K0011 M0204 N0001 P0024
CX119-1981B 	JACK MACKEREL, CANNED 	JACK MACKEREL, CANNED 	A0267 B1090 C0127 E0151 F0014 G0001 H0001 J0123 K0011 M0204 N0001 P0024
