FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES	REMARKS
F11903	3200 AB (FORMALLY LOW PHE/TYR), IRON FORTIFIED INFANT FORMULA, POWDER	3200 AB (FORMALLY LOW PHE/TYR), IRON FORTIFIED INFANT FORMULA, POWDER		
F6601	ABALONE MUSHROOM, RAW	ABALONE MUSHROOM, RAW	A0152 B1645 C0150 E0151 F0003 G0003 H0001 J0001 K0001 M0001 N0001 P0024	
F8408	ABALONE, CANNED	ABALONE, CANNED	A0267 B1408 C0173 E0150 F0014 G0003 H0001 J0123 K0003 M0194 N0001 P0024	
F8215	ABALONE, RAW	ABALONE, RAW	A0267 B1408 C0173 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F5754	ACEROLA JUICE	ACEROLA JUICE	A0127 B1360 C0167 E0109 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F10823	ACEROLA, RAW	ACEROLA, RAW	A0143 B1360 C0167 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F15560	ACETIC ACID, DILUTED	ACETIC ACID, DILUTED	A0302 B1347 C0174 E0130 F0001 G0003 H0123 H0148 J0001 K0003 M0001 N0001 P0024	
F3708	ACIDIFIED DAIRY PRODUCT	ACIDIFIED DAIRY PRODUCT	A0148 B1201 C0235 E0001 F0001 G0003 H0200 J0001 K0003 M0001 N0001 P0024	
F1625	ACIDIFIED FOOD	ACIDIFIED FOOD	A0001 B0001 C0001 E0001 F0001 G0003 H0200 J0001 K0003 M0001 N0001 P0024	
F1196	ACIDOPHILUS LOWFAT MILK	ACIDOPHILUS LOWFAT MILK	A0101 B1201 C0235 E0123 F0018 G0003 H0101 H0247 H0253 J0135 K0003 M0001 N0001 P0024 P0039	
F5998	ACIDOPHILUS MILK	ACIDOPHILUS MILK	A0101 B1201 C0235 E0123 F0018 G0003 H0101 H0253 J0135 K0003 M0001 N0001 P0024	
F15223	ACORN SQUASH, RAW	ACORN SQUASH, RAW	A0152 B2064 C0140 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F1149	ACORN, RAW	ACORN, RAW	A0260 B1715 C0155 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
F12009	ADVANCE WITH IRON INFANT FORMULA, CONCENTRATED	ADVANCE WITH IRON INFANT FORMULA, CONCENTRATED		
F12008	ADVANCE WITH IRON INFANT FORMULA, READY TO FEED	ADVANCE WITH IRON INFANT FORMULA, READY TO FEED		
F9898	ADZUKI BEAN FLOUR	ADZUKI BEAN FLOUR	A0149 B1110 C0133 E0106 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F9380	AFRICAN FRESH WATER CICHLID, RAW	AFRICAN FRESH WATER CICHLID, RAW	A0267 B1831 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F9911	AFRICAN MIDFISH, RAW	AFRICAN MIDFISH, RAW	A0267 B2317 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F8442	AFRICAN POMPANO, RAW	AFRICAN POMPANO, RAW	A0267 B2147 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F1524	AGAR	AGAR	A0004 B1033 C0220 E0001 F0001 G0003 H0001 J0001 K0001 M0001 N0001 P0024	
F1634	AGAVE WORM, PRESERVED IN ALCOHOL	AGAVE WORM, PRESERVED IN ALCOHOL	A0004 B1297 C0173 E0150 F0001 G0003 H0160 J0004 K0011 M0203 N0040 P0024	
F4775	AKEE AND SALTFISH	AKEE AND SALTFISH	A0267 B1835 C0175 E0151 F0001 G0003 H0147 H0151 J0001 K0003 M0001 N0001 P0024	
F1801	AKEE, CANNED	AKEE, CANNED	A0143 B1690 C0167 E0151 F0014 G0003 H0001 J0123 K0001 M0001 N0001 P0024	
F1360	AKEE, RAW	AKEE, RAW	A0143 B1690 C0140 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F6802	ALASKA PEAS, DRIED	ALASKA PEAS, DRIED	A0152 B1326 C0133 E0150 F0003 G0001 H0138 J0116 K0003 M0001 N0001 P0024	
F9141	ALASKA POLLACK, RAW	ALASKA POLLACK, RAW	A0267 B1843 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F8839	ALASKA SNOW CRAB, RAW	ALASKA SNOW CRAB, RAW	A0267 B1497 C0173 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F9290	ALASKA WHITE SALMON, RAW	ALASKA WHITE SALMON, RAW	A0267 B1117 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0060	
F4338	ALASKAN SEA LION, RAW	ALASKAN SEA LION, RAW	A0267 B1341 C0103 E0151 F0003 G0001 H0003 J0001 K0003 M0001 N0001 P0024	
F1165	ALBACORE, CANNED	ALBACORE, CANNED	A0267 B1506 C0268 E0152 F0014 G0003 H0001 J0123 K0001 M0204 N0023 P0024 Z0056	
F8446	ALBACORE, RAW	ALBACORE, RAW	A0267 B1506 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024 Z0056	
F9016	ALBACORE, SOLID-PACK, CANNED	ALBACORE, SOLID-PACK, CANNED	A0267 B1506 C0265 E0125 F0014 G0003 H0001 J0123 K0001 M0204 N0024 P0024	
F10882	ALCOHOL-FREE BEER	ALCOHOL-FREE BEER	A0295 B1230 C0102 E0123 F0001 G0003 H0229 H0232 H0246 H0286 J0121 K0003 M0194 N0001 P0024	
F10770	ALCOHOLIC BEVERAGE	ALCOHOLIC BEVERAGE	A0278 B0001 C0001 E0130 F0001 G0001 H0232 H0332 J0001 K0003 M0001 N0001 P0024	
F2432	ALCOHOLIC BEVERAGE MIX, CONTAINING ALCOHOL, ARTIFICIALLY SWEETENED	ALCOHOLIC BEVERAGE MIX, CONTAINING ALCOHOL, ARTIFICIALLY SWEETENED	A0278 B0001 C0001 E0001 F0001 G0003 H0108 H0332 J0001 K0003 M0001 N0001 P0024 Z0088	
F10866	ALCOHOLIC BEVERAGE, CHINESE	ALCOHOLIC BEVERAGE, CHINESE	A0277 B1285 C0155 E0123 F0014 G0003 H0100 H0232 H0270 H0320 J0001 K0003 M0001 N0001 P0024	
F1637	ALCOHOLIC BEVERAGE, POWDERED	ALCOHOLIC BEVERAGE, POWDERED	A0278 B0001 C0001 E0106 F0001 G0003 H0117 H0138 H0232 J0116 K0003 M0001 N0001 P0024	
F2111	ALE	ALE	A0195 B1230 C0102 E0123 F0001 G0003 H0232 H0246 J0121 K0003 M0001 N0001 P0024	
F8105	ALEWIFE, RAW	ALEWIFE, RAW	A0267 B1402 C0175 E0151 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024	
F1342	ALFALFA	ALFALFA	A0152 B1359 C0155 E0150 F0001 G0003 H0001 J0001 K0001 M0001 N0001 P0024	
F1569	ALFALFA FLOUR	ALFALFA FLOUR	A0149 B1359 C0134 E0106 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024	
F3050	ALFALFA JUICE	ALFALFA JUICE	A0264 B1359 C0155 E0130 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024	
