FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES
FR03010 	FARINE LACTEE SABIAMINEN (ALGERIE) 	FARINE LACTEE SABIAMINEN (ALGERIE) 	A0149 B1079 C0208 E0106 F0014 G0003 H0163 J0117 K0003 P0024
FR07001 	PAIN 	PAIN 	A0178 B1421 C0208 E0105 F0014 G0005 H0256 J0003 K0003 P0024
FR07002 	MIE DE PAIN 	MIE DE PAIN 	A0178 B1421 C0208 E0105 F0014 G0005 H0256 J0003 K0003 P0024
FR07003 	CROUTE DE PAIN 	CROUTE DE PAIN 	A0178 B1421 C0208 E0105 F0014 G0005 H0256 J0003 K0003 P0024
FR07004 	PAIN GRILLE 	PAIN GRILLE 	A0178 B1421 C0208 E0124 F0014 G0006 G0005 H0256 J0003 K0003 P0024
FR07010 	BAGUETTE 	BAGUETTE 	A0178 B1421 C0208 E0105 F0014 G0005 H0256 J0003 K0003 P0024
FR07015 	FICELLE 	FICELLE 	A0178 B1421 C0208 E0105 F0014 G0005 H0256 J0003 K0003 P0024
FR07020 	BOULE 	BOULE 	A0178 B1421 C0208 E0146 F0014 G0005 H0256 J0003 K0003 P0024
FR07030 	PAIN, FABRICATION DOMESTIQUE (ALGERIE) 	PAIN, FABRICATION DOMESTIQUE (ALGERIE) 	A0178 B1079 C0208 E0147 F0014 G0005 H0263 J0003 K0003 P0024
FR07100 	PAIN DE CAMPAGNE 	PAIN DE CAMPAGNE 	A0178 B1421 C0208 E0146 F0014 G0005 H0256 J0003 K0003 P0024
FR07101 	PAIN BRIE 	PAIN BRIE 	A0178 B1421 C0208 E0146 F0014 G0005 H0256 J0003 K0003 P0024
FR07102 	PAIN DE BEAUSAINE 	PAIN DE BEAUSAINE 	A0178 B1421 C0208 E0146 F0014 G0005 H0256 J0003 K0003 P0024
FR07110 	PAIN COMPLET 	PAIN COMPLET 	A0178 B1421 C0133 E0105 F0014 G0005 H0256 J0003 K0003 P0024
FR07115 	PAIN AU SON 	PAIN AU SON 	A0178 B1421 C0119 E0105 F0014 G0005 H0256 H0152 J0003 K0003 P0048 P0024
FR07120 	PAIN AU SEIGLE PUR 	PAIN AU SEIGLE PUR 	A0178 B1313 C0155 E0105 F0014 G0005 H0256 J0003 K0003 P0024
FR07125 	PAIN DE SEIGLE ET FROMENT 	PAIN DE SEIGLE ET FROMENT 	A0178 B1313 C0155 E0105 F0014 G0005 H0152 H0256 J0003 P0024
FR07130 	PAIN DE METEIL AVEC 50% DE SEIGLE 	PAIN DE METEIL AVEC 50% DE SEIGLE 	A0178 B1313 C0155 E0105 F0014 G0005 H0319 H0256 J0003 K0003 P0024
FR07160 	PAIN SANS SEL 	PAIN SANS SEL 	A0178 B1421 C0208 E0105 F0014 G0005 H0256 J0003 K0003 P0037 P0078 P0024
FR07200 	PAIN DE MIE 	PAIN DE MIE 	A0178 B1421 C0208 E0105 F0014 G0005 H0256 H0221 H0136 J0003 K0003 P0024
FR07205 	PAIN DE MIE ARTISANAL 	PAIN DE MIE ARTISANAL 	A0178 B1421 C0208 E0105 F0014 G0005 H0136 H0256 H0221 J0003 K0003 P0024
FR07210 	PAIN DE MIE ARTISANAL AU LAIT 	PAIN DE MIE ARTISANAL AU LAIT 	A0178 B1421 C0208 E0105 F0014 G0005 H0221 H0136 H0256 H0184 J0003 K0003 P0024
FR07220 	PAIN DE MIE INDUSTRIEL 	PAIN DE MIE INDUSTRIEL 	A0178 B1421 C0208 E0105 F0014 G0005 H0221 H0256 H0136 J0003 K0003 P0024
FR07225 	PAIN VIENNOIS 	PAIN VIENNOIS 	A0178 B1421 C0208 E0105 F0014 G0005 H0136 H0256 H0155 H0184 J0003 K0003 P0024
