FOODID	ORIGFDNM	ENGFDNAM	LANGUALCODES
00750 	OATS 	OATS 	A0125 B1219 C0133 E0151 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024
00774 	GROATS 	GROATS 	A0125 B1324 C0134 E0100 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024
00776 	OATMEAL 	OATMEAL 	A0258 B1219 C0133 E0151 F0001 G0003 H0138 J0116 K0001 M0001 N0001 P0024
00790 	MILLET 	MILLET 	A0125 B1285 C0133 E0150 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024
00820 	MILLET BEER 	MILLET BEER 	A0195 B2505 C0102 E0123 F0001 G0003 H0232 H0246 J0121 K0003 M0001 N0001 P0024
00830 	SORGHUM, HUSKED 	SORGHUM, HUSKED 	A0125 B1448 C0155 E0150 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024
00861 	SORGHUM 	SORGHUM 	A0125 B1448 C0155 E0150 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
00891 	BUCKWHEAT, WHOLE, CRUSHED, FLAKES 	BUCKWHEAT, WHOLE, CRUSHED, FLAKES 	A0149 B1405 C0133 E0151 F0001 G0003 H0274 H0138 J0116 K0003 M0001 N0001 P0024
01030 	GRAIN, MIXED 	GRAIN, MIXED 	A0125 B1324 C0155 E0151 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024
01040 	GRAIN MEAL, MIXED 	GRAIN MEAL, MIXED 	A0125 B1324 C0155 E0117 F0001 G0001 H0138 J0116 K0003 M0001 N0001 P0024
01110 	CEREAL FLOUR, N.F.S. 	CEREAL FLOUR, N.F.S. 	A0149 B1324 C0155 E0106 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024
01131 	CEREAL, BREAKFAST, INFANT 	CEREAL, BREAKFAST, INFANT 	A0258 B1324 C0174 E0135 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0020
01132 	CORNFLAKES 	CORNFLAKES 	A0258 B1379 C0208 E0153 F0014 G0001 H0138 H0274 J0116 K0003 M0001 N0001 P0024
01133 	CEREALS, PACKAGED 	CEREALS, PACKAGED 	A0258 B1047 C0135 E0104 F0014 G0003 H0138 H0274 J0116 K0003 M0001 N0001 P0024
01134 	CEREAL PRODUCTS, CANNED 	CEREAL PRODUCTS, CANNED 	A0125 B1324 C0155 E0151 F0014 G0003 H0001 J0123 K0001 M0194 N0001 P0024
01666 	SUGAR, POWDERED 	SUGAR, POWDERED 	A0118 B1012 C0210 E0106 F0014 G0003 H0138 J0116 K0003 M0001 N0001 P0024
01667 	SUGAR 	SUGAR 	A0118 B1012 C0108 E0143 F0014 G0003 H0138 J0116 K0003 M0001 N0001 P0024
01760 	KIDNEY BEANS 	KIDNEY BEANS 	A0152 B1113 C0133 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
01811 	BLACK BEANS, DRIED 	BLACK BEANS, DRIED 	A0152 B2133 C0133 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
02150 	BRAZILNUTS, MIXED MEAL 	BRAZILNUTS, MIXED MEAL 	A0260 B1463 C0155 E0117 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
02160 	BRAZILNUTS, IN SHELL 	BRAZILNUTS, IN SHELL 	A0260 B1463 C0227 E0150 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
02161 	BRAZILNUTS, SHELLED 	BRAZILNUTS, SHELLED 	A0260 B1463 C0155 E0150 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
00147 	SALT, UNREFINED 	SALT, UNREFINED 	A0134 B1655 C0005 E0151 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024 P0122 P0161
00148 	FEED 	FEED 	A0001 B0001 C0001 E0001 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0015
00149 	BONE PHOSPHATE TABLETS 	BONE PHOSPHATE TABLETS 	A0004 B1041 C0005 E0140 F0001 G0001 H0001 J0001 K0001 M0001 N0001 P0024
00150 	WHEAT, WHOLE 	WHEAT, WHOLE 	A0125 B1312 C0133 E0150 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
00151 	CEREALS 	CEREALS 	A0125 B1324 C0174 E0001 F0001 G0003 H0001 J0001 K0001 M0001 N0001 P0024
00152 	WHEAT, HUSKED 	WHEAT, HUSKED 	A0125 B1312 C0155 E0150 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024
00159 	WHEAT FLOUR 	WHEAT FLOUR 	A0149 B1312 C0208 E0106 F0003 G0001 H0138 J0116 K0001 M0001 N0001 P0024
00167 	WHEAT FLOUR, SELF RAISING 	WHEAT FLOUR, SELF RAISING 	A0149 B1312 C0208 E0106 F0001 G0003 H0351 H0138 J0116 K0003 M0001 N0001 P0024
00168 	WHEAT FLOUR, WHITE 	WHEAT FLOUR, WHITE 	A0149 B1312 C0208 E0106 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
00170 	WHEAT BRAN 	WHEAT BRAN 	A0149 B1312 C0111 E0100 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024
00171 	WHEAT AND RYE FLOUR 	WHEAT AND RYE FLOUR 	A0149 B1312 C0155 E0106 F0001 G0003 H0337 H0138 J0116 K0003 M0001 N0001 P0024
00172 	FLOUR 	FLOUR 	A0149 B1312 C0208 E0106 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024
00173 	WHEAT 	WHEAT 	A0125 B1312 C0155 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024
00184 	MACARONI 	MACARONI 	A0275 B1312 C0208 E0153 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024
00187 	RAVIOLI, CANNED 	RAVIOLI, CANNED 	A0220 B1312 C0208 E0147 F0014 G0003 H0212 H0207 J0123 K0037 M0194 N0001 P0024
00188 	SPAGHETTI, CANNED 	SPAGHETTI, CANNED 	A0220 B1312 C0208 E0134 F0014 G0003 H0212 J0123 K0037 M0194 N0001 P0024
00194 	MACARONI PUDDING, CANNED 	MACARONI PUDDING, CANNED 	A0192 B1312 C0208 E0134 F0014 G0001 H0001 J0123 K0003 M0194 N0001 P0024
00206 	BREADS 	BREADS 	A0178 B1324 C0155 E0147 F0014 G0005 H0001 J0001 K0003 M0001 N0001 P0024
00208 	BREAD, WHITE ROLLED BUNS 	BREAD, WHITE ROLLED BUNS 	A0178 B1312 C0208 E0151 F0014 G0005 H0256 J0001 K0003 M0001 N0001 P0024
00209 	BREAD, WHOLE WHEAT 	BREAD, WHOLE WHEAT 	A0178 B1312 C0133 E0147 F0014 G0005 H0256 H0221 J0001 K0003 M0001 N0001 P0024
00226 	BREAD, WHOLEMEAL 	BREAD, WHOLEMEAL 	A0178 B1324 C0133 E0151 F0014 G0005 H0256 J0001 K0003 M0001 N0001 P0024
00227 	BREAKFAST BISCUITS, WHOLEMEAL 	BREAKFAST BISCUITS, WHOLEMEAL 	A0283 B1047 C0133 E0105 F0014 G0005 H0351 H0221 J0001 K0003 M0001 N0001 P0024
00251 	BREAD, BROWN 	BREAD, BROWN 	A0178 B1312 C0155 E0147 F0014 G0005 H0256 J0001 K0003 M0001 N0001 P0024
00275 	RICE, CULTIVATED, WHOLE 	RICE, CULTIVATED, WHOLE 	A0125 B1322 C0155 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
00283 	RICE, HUSKED, CULTIVATED, WHOLE 	RICE, HUSKED, CULTIVATED, WHOLE 	A0125 B1322 C0155 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
00313 	RICE, MILLED, CULTIVATED 	RICE, MILLED, CULTIVATED 	A0149 B1322 C0208 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024
00323 	RICE MEAL, CULTIVATED 	RICE MEAL, CULTIVATED 	A0149 B1322 C0133 E0117 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
00371 	RICE-BASED FOODS 	RICE-BASED FOODS 	A0125 B1322 C0155 E0001 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
00411 	RICE, WHITE 	RICE, WHITE 	A0149 B1322 C0208 E0150 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024
00440 	BARLEY 	BARLEY 	A0125 B1230 C0133 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024
00493 	BARLEY BRAN 	BARLEY BRAN 	A0149 B1230 C0111 E0152 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024
00560 	MAIZE GRAIN 	MAIZE GRAIN 	A0125 B1379 C0133 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
00561 	MAIZE GRAIN, WHITE 	MAIZE GRAIN, WHITE 	A0125 B1577 C0133 E0150 F0001 G0003 H0001 J0001 K0001 M0001 N0001 P0024
00562 	MAIZE GRAIN, YELLOW 	MAIZE GRAIN, YELLOW 	A0125 B1580 C0133 E0150 F0001 G0003 H0001 J0001 K0001 M0001 N0001 P0024
00563 	MAIZE MEAL 	MAIZE MEAL 	A0149 B1379 C0155 E0117 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
00572 	MAIZE MEAL, YELLOW 	MAIZE MEAL, YELLOW 	A0149 B1580 C0133 E0117 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
00577 	MAIZE, GROUND OR MILLED 	MAIZE, GROUND OR MILLED 	A0149 B1379 C0133 E0117 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
00580 	MAIZE FLOUR 	MAIZE FLOUR 	A0149 B1379 C0155 E0106 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
00600 	MAIZE OIL 	MAIZE OIL 	A0129 B1379 C0190 E0139 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
00621 	MAIZE TORTILLAS 	MAIZE TORTILLAS 	A0107 B1379 C0155 E0153 F0014 G0001 H0001 J0001 K0003 M0001 N0001 P0024
00661 	MAIZE, DRY, MILLED PRODUCTS 	MAIZE, DRY, MILLED PRODUCTS 	A0149 B1379 C0133 E0117 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
00662 	MAIZE, SHELLED, WHITE AND YELLOW 	MAIZE, SHELLED, WHITE AND YELLOW 	A0149 B1379 C0133 E0151 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
00710 	RYE GRAIN 	RYE GRAIN 	A0125 B1313 C0133 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024
00720 	RYE FLOUR 	RYE FLOUR 	A0149 B1313 C0155 E0106 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024
02162 	BRAZILNUTS 	BRAZILNUTS 	A0260 B1463 C0133 E0150 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
02171 	CASHEWS, RAW, SHELLED 	CASHEWS, RAW, SHELLED 	A0260 B1221 C0155 E0150 F0014 G0003 H0001 J0001 K0003 M0001 N0001 P0024
02175 	CASHEWS, MIXED MEAL 	CASHEWS, MIXED MEAL 	A0260 B1221 C0155 E0117 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
02210 	ALMONDS IN SHELL 	ALMONDS IN SHELL 	A0260 B1272 C0227 E0150 F0001 G0003 H0003 J0001 K0003 M0001 N0001 P0024
02211 	ALMONDS, RAW, SHELLED 	ALMONDS, RAW, SHELLED 	A0260 B1272 C0155 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024
02214 	ALMONDS 	ALMONDS 	A0260 B1272 C0155 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
02215 	ALMONDS, MIXED MEAL 	ALMONDS, MIXED MEAL 	A0260 B1272 C0133 E0117 F0001 G0001 H0001 J0001 K0003 M0001 N0001 P0024
02216 	ALMONDS, COOKED 	ALMONDS, COOKED 	A0260 B1272 C0155 E0150 F0022 G0001 H0001 J0001 K0003 M0001 N0001 P0024
02221 	WALNUTS, RAW, SHELLED 	WALNUTS, RAW, SHELLED 	A0260 B1290 C0155 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024
02227 	WALNUTS IN SHELL 	WALNUTS IN SHELL 	A0260 B1290 C0227 E0150 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
02228 	WALNUTS, MIXED MEAL 	WALNUTS, MIXED MEAL 	A0260 B1290 C0155 E0117 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
02229 	WALNUTS 	WALNUTS 	A0260 B1290 C0155 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
02230 	PISTACHIO NUTS, RAW IN SHELL 	PISTACHIO NUTS, RAW IN SHELL 	A0260 B1416 C0227 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024
02234 	PISTACHIO NUTS 	PISTACHIO NUTS 	A0260 B1416 C0155 E0150 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
02235 	PISTACHIO NUTS, MIXED MEAL 	PISTACHIO NUTS, MIXED MEAL 	A0260 B1416 C0155 E0117 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
02236 	PISTACHIOS IN SHELL, ROASTED 	PISTACHIOS IN SHELL, ROASTED 	A0260 B1416 C0227 E0150 F0014 G0001 H0391 J0001 K0003 M0001 N0001 P0024
02244 	PECANS 	PECANS 	A0260 B1320 C0155 E0150 F0003 G0003 H0138 J0116 K0003 M0001 N0001 P0024
02245 	PECANS IN SHELL 	PECANS IN SHELL 	A0260 B1320 C0227 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024
02246 	PECAN NUTS, RAW, SHELLED 	PECAN NUTS, RAW, SHELLED 	A0260 B1320 C0155 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024
02249 	PECAN NUTS, MIXED MEAL 	PECAN NUTS, MIXED MEAL 	A0260 B1320 C0155 E0117 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
02251 	HAZELNUTS, RAW, SHELLED 	HAZELNUTS, RAW, SHELLED 	A0260 B1533 C0155 E0150 F0003 G0003 J0003 K0003 M0001 N0001 P0024
02254 	GROUNDNUTS 	GROUNDNUTS 	A0260 B1337 C0155 E0150 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
02255 	FILBERTS 	FILBERTS 	A0260 B1533 C0155 E0150 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
02270 	MIXED NUTS, RAW, SHELLED 	MIXED NUTS, RAW, SHELLED 	A0260 B1213 C0155 E0104 F0003 G0001 H0177 J0001 K0003 M0001 N0001 P0024
02334 	GROUNDNUTS IN SHELL 	GROUNDNUTS IN SHELL 	A0260 B1337 C0227 E0150 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
02361 	SOYBEANS, RAW, SHELLED 	SOYBEANS, RAW, SHELLED 	A0152 B1452 C0155 E0150 F0003 G0003 H0001 J0001 K0001 M0001 N0001 P0024
02362 	GROUNDNUTS, ROASTED, SHELLED 	GROUNDNUTS, ROASTED, SHELLED 	A0260 B1337 C0155 E0150 F0014 G0003 H0391 J0001 K0003 M0001 N0001 P0024
02364 	GROUNDNUTS, CANNED 	GROUNDNUTS, CANNED 	A0260 B1337 C0132 E0150 F0014 G0003 H0001 J0123 K0001 M0194 N0001 P0024
02371 	SOYBEAN OIL, EDIBLE 	SOYBEAN OIL, EDIBLE 	A0129 B1452 C0190 E0139 F0018 G0003 H0003 J0003 K0003 M0001 N0001 P0024
02397 	SOYBEAN FLOUR 	SOYBEAN FLOUR 	A0149 B1452 C0132 E0106 F0001 G0003 H0138 J0116 K0003 M0001 N0001 P0024
02420 	GROUNDNUTS, RAW IN SHELL 	GROUNDNUTS, RAW IN SHELL 	A0260 B1337 C0227 E0150 F0003 G0003 H0001 J0001 K0003 M0001 N0001 P0024
02425 	GROUNDNUTS, MIXED MEAL 	GROUNDNUTS, MIXED MEAL 	A0260 B1337 C0155 E0117 F0001 G0003 H0001 J0001 K0003 M0001 N0001 P0024
02430 	GROUNDNUTS, RAW, SHELLED 	GROUNDNUTS, RAW, SHELLED 	A0260 B1337 C0155 E0150 F0003 G0003 H0003 J0001 K0003 M0001 N0001 P0024
