Ontology ID	parent class	label	Equivalence axiom	Subclass axiom	definition	definition source	created	term editor	English syn.	British english syn.	Italian syn.	French syn.	german syn.	spanish syn.	portuguese syn.	see also	curation status	comment	image	Curation notes							
	SC % SPLIT=|	AL rdfs:label@en	EC %	SC % SPLIT=|	AL IAO:0000115@en	A IAO:0000119 SPLIT=|	AT dc:date^^xsd:dateTime	A IAO:0000117 SPLIT=|	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasExactSynonym@en-BR SPLIT=|	AL oboInOwl:hasExactSynonym@it SPLIT=|	AL oboInOwl:hasExactSynonym@fr SPLIT=|	AL oboInOwl:hasExactSynonym@ge SPLIT=|	AL oboInOwl:hasExactSynonym@es SPLIT=|	AL oboInOwl:hasExactSynonym@pt SPLIT=|	A rdfs:seeAlso SPLIT=|	AI IAO:0000114	AL rdfs:comment@en	AI schema:image								
																											
																											
FOODON:00002473	pome fruit	apple (whole)	'pome fruit' and 'derives from' some 'Malus domestica'		A pome fruit of an apple tree (Malus domestica).	FoodOn		http://orcid.org/0000-0002-8844-9165	apple								IAO:0000122	A whole apple may include a stem.									
FOODON:00002775	seed	bambara groundnut (whole)	'seed' and 'derives from' some 'Vigna subterranea'		A seed of a bambara groundnut plant (Vigna subterranea).	https://en.wikipedia.org/wiki/Vigna_subterranea	2019-07-09T17:59:28Z	http://orcid.org/0000-0002-8844-9165	bambara groundnut | ground-bean | hog-peanut								IAO:0000122										
FOODON:03316257	berry fruit	banana (whole)	'berry fruit' and 'derives from' some 'Musa acuminata AAA Group'		A berry fruit of a banana tree (Musa acuminata AAA Group).	FoodOn		http://orcid.org/0000-0002-8844-9165	banana								IAO:0000122										
FOODON:00003394	caryopsis fruit	barley seed (whole)	'caryopsis fruit' and 'derives from' some 'Hordeum vulgare subsp. vulgare'		A caryopsis fruit of a barley plant (Hordeum vulgare subsp. vulgare).	FoodOn	2020-09-06T15:28:35Z	http://orcid.org/0000-0002-8844-9165	barley seed								IAO:0000122										
FOODON:03317254	primary root	beetroot (whole)	'primary root' and 'derives from' some 'Beta vulgaris'		A primary root of a commonbeet plant (Beta vulgaris).	FoodOn		http://orcid.org/0000-0002-8844-9165	beetroot|beet								IAO:0000122										
FOODON:00003131	whole wheat kernel	common wheat kernel	'caryopsis fruit' and 'derives from' some 'Triticum aestivum'		A caryopsis fruit of a common wheat plant (Triticum aestivum).	https://en.wikipedia.org/wiki/Common_wheat	2019-08-25T16:34:00Z	http://orcid.org/0000-0002-8844-9165	bread wheat kernel|bread wheat								IAO:0000122	About 95% of wheat produced worldwide is common wheat.									
FOODON:00003405	raceme inflorescence	broccoli floret (whole)	'raceme inflorescence' and 'derives from' some 'Brassica oleracea var. italica'		A raceme inflorescence of a broccoli plant(Brassica oleracea var. italica).	FoodOn	2020-09-09T07:15:35Z	http://orcid.org/0000-0002-8844-9165	broccoli								IAO:0000122										
FOODON:03311885	axillary bud	brussels sprout (whole)	'axillary bud' and 'derives from' some 'Brassica oleracea var. gemmifera'		An axillary bud of the brussels sprout plant (Brassica oleracea var. gemmifera).	FoodOn		http://orcid.org/0000-0002-8844-9165	brussels sprouts								IAO:0000122										
FOODON:00003407	seed	rapeseed (whole)	'seed' and 'derives from' some 'Brassica napus var. napus'		A seed of a rapseed plant (Brassica napus var. napus).	FoodOn	2020-09-09T07:24:31Z	http://orcid.org/0000-0002-8844-9165	rapeseed								IAO:0000122										
FOODON:00003408	primary root	carrot root (whole)	'primary root' and 'derives from' some 'Daucus carota'		A primary root of a carrot plant (Daucus carota).	FoodOn	2020-09-09T07:27:10Z	http://orcid.org/0000-0002-8844-9165	carrot								IAO:0000122										
FOODON:00003409	tuberous root tuber	cassava (whole)	'tuberous root' and 'derives from' some 'Manihot esculenta'		A tuberous root tuber of a cassava plant (Manihot esculenta).	FoodOn	2020-09-09T07:33:05Z	http://orcid.org/0000-0002-8844-9165	cassava								IAO:0000122										
FOODON:00003410	raceme inflorescence	cauliflower (whole)	'raceme inflorescence' and 'derives from' some 'Brassica oleracea var. botrytis'		A raceme inflorescence of a cauliflower plant (Brassica oleracea var. botrytis).	FoodOn	2020-09-09T07:39:07Z	http://orcid.org/0000-0002-8844-9165	cauliflower								IAO:0000122										
FOODON:00003411	petiole	celery stalk (whole)	'petiole' and 'derives from' some 'Apium graveolens Dulce Group'		A petiole of a celery plant (Apium graveolens Dulce Group).	FoodOn	2020-09-09T07:43:45Z	http://orcid.org/0000-0002-8844-9165	celery stalk								IAO:0000122										
FOODON:00003413	drupe fruit	sweet cherry (whole)	'drupe fruit' and 'derives from' some 'Prunus avium'		A drupe fruit of a sweet cherry plant (Prunus avium).	FoodOn	2020-09-09T07:48:03Z	http://orcid.org/0000-0002-8844-9165	sweet cherry								IAO:0000122										
FOODON:03306811	seed	chickpea (whole)	'seed' and 'derives from' some 'Cicer arietinum'		A seed of a chickpea plant (Cicer arietinum).	FoodOn		http://orcid.org/0000-0002-8844-9165	chickpea|chick pea								IAO:0000122										
FOODON:00003449	drupe fruit	coconut (whole)	'drupe fruit' and 'derives from' some 'Cocos nucifera'		A drupe fruit of a coconut palm tree (Cocos nucifera).	FoodOn	2020-09-10T05:53:54Z	http://orcid.org/0000-0002-8844-9165	coconut								IAO:0000122										
FOODON:00003399	drupe fruit	arabica coffee bean (whole)	'drupe fruit' and 'derives from' some 'Coffea arabica'		A drupe fruit of the arabica coffee plant (Coffea arabica).	FoodOn	2020-09-07T16:25:15Z	http://orcid.org/0000-0002-8844-9165	arabica coffee bean|arabica bean								IAO:0000122										
FOODON:00003403	bean (whole)	common bean (whole)	'seed' and 'derives from' some 'Phaseolus vulgaris'		A seed of a common bean plant (Phaseolus vulgaris).	FoodOn	2020-09-08T18:42:03Z	http://orcid.org/0000-0002-8844-9165	common bean								IAO:0000122										
FOODON:00003404	legume fruit	common bean pod	'legume fruit' and 'derives from' some 'Phaseolus vulgaris'		A legume fruit of a common bean plant (Phaseolus vulgaris).	FoodOn	2020-09-08T18:42:15Z	http://orcid.org/0000-0002-8844-9165									IAO:0000122										
FOODON:00003414	seed	cowpea (whole)	'seed' and 'derives from' some 'Vigna unguiculata'		A seed of a cowpea plant (Vigna unguiculata).	FoodOn	2020-09-09T14:09:09Z	http://orcid.org/0000-0002-8844-9165	cowpea								IAO:0000122										
FOODON:00003415	pepo fruit	cucumber (whole)	'pepo fruit' and 'derives from' some 'Cucumis sativus'		A pepo fruit of a cucumber plant (Cucumis sativus).	FoodOn	2020-09-09T14:18:28Z	http://orcid.org/0000-0002-8844-9165	cucumber								IAO:0000122										
FOODON:00003416	caryopsis fruit	durum wheat kernel	'caryopsis fruit' and 'derives from' some 'Triticum turgidum subsp. durum'		A caryopsis fruit of a durum wheat plant (Triticum turgidum subsp. durum).	FoodOn	2020-09-09T14:22:09Z	http://orcid.org/0000-0002-8844-9165	durum wheat								IAO:0000122										
FOODON:03301227	bean (whole)	broad bean (whole)	'seed' and 'derives from' some 'Vicia faba'		A seed of a broad bean plant (Vicia faba).	FoodOn		http://orcid.org/0000-0002-8844-9165	broad bean|broadbean|faba bean|fava bean|Windsor bean								IAO:0000122										
FOODON:00003417	berry fruit	grape (whole)	'berry fruit' and 'derives from' some 'grape plant'		A berry fruit of a grape plant.	FoodOn	2020-09-09T14:38:33Z	http://orcid.org/0000-0002-8844-9165	grape								IAO:0000122										
FOODON:00003206	seed	peanut (whole)	'seed' and 'derives from' some 'Arachis hypogaea'		A seed of a peanut plant (Arachis hypogaea).	FoodOn		http://orcid.org/0000-0002-8844-9165	peanut								IAO:0000122										
FOODON:00003418	nut fruit	common hazelnut (whole)	'nut fruit' and 'derives from' some 'Corylus avellana'		A nut fruit of a common hazelnut tree (Corylus avellana)	FoodOn	2020-09-09T14:47:29Z	http://orcid.org/0000-0002-8844-9165	common hazelnut								IAO:0000122										
FOODON:00003421	seed	indian mustard seed (whole)	'seed' and 'derives from' some 'Brassica juncea subsp. integrifolia'		A seed of an indian mustard plant (Brassica juncea subsp. integrifolia).	FoodOn	2020-09-09T15:16:24Z	http://orcid.org/0000-0002-8844-9165	indian mustard seed								IAO:0000122										
FOODON:00003422	stem	kohlrabi stem (whole)	'stem' and 'derives from' some 'Brassica oleracea var. gongylodes'		A stem of a kohlrabi plant (Brassica oleracea var. gongylodes).	FoodOn	2020-09-09T15:32:09Z	http://orcid.org/0000-0002-8844-9165	kohlrabi stem								IAO:0000122										
FOODON:03310641	seed	lentil (whole)	'seed' and 'derives from' some 'Lens culinaris'		A seed of a lentil plant (Lens culinaris).	FoodOn		http://orcid.org/0000-0002-8844-9165	lentil								IAO:0000122										
FOODON:00003003	seed	macadamia nut (whole)	'seed' and 'derives from' some 'Macadamia integrifolia'		A seed of a macadamia nut tree (Macadamia integrifolia).	FoodOn	2019-08-13T05:53:56Z	http://orcid.org/0000-0002-8844-9165	macadamia nut|bauple nut|bauple|boombera|bush nut|gyndl|Hawaii nut|jindilli|macadamia|maroochi nut|Queensland nut								IAO:0000122										
FOODON:00003427	caryopsis fruit	maize kernel (whole)	'caryopsis fruit' and 'derives from' some 'Zea mays subsp. mays'		A caryopsis fruit of a maize plant  (Zea mays subsp. mays).	FoodOn	2020-09-09T22:30:15Z	http://orcid.org/0000-0002-8844-9165	maize kernel|corn kernel								IAO:0000122										
FOODON:00003428	ear infructescence	maize cob (whole)	'ear infructescence' and 'derives from' some 'Zea mays subsp. mays'		An ear infructescence of a maize plant (Zea mays subsp. mays).	FoodOn	2020-09-09T22:30:40Z	http://orcid.org/0000-0002-8844-9165	maize cob|corn cob								IAO:0000122										
